"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9"
"Social Intelligence",0.00171506154357734,0.000585085997543931,0.00048929724442287,0.00130971593523931,0.0015320706458232,0.000990017091384226,0.000901375843650072,0.00256175341475673,0.000242976085738666
"McA-SL",0.00134587027235179,0.000926984023693769,0.000387843346480593,0.000223590736802538,0.00174471938560788,0.002950486483483,0.000406004031789035,0.0010985964583706,8.80276940392366e-05
"Autism",0.000758287536387523,0.000290134551210768,0.00287074917551229,0.000758109009491158,0.00176555594171097,0.000323700676567289,0.000661085043489877,0.00169087781837403,8.25876059741996e-05
"Paranoia",0.00161495658825146,0.000499658408281823,0.000766355302913388,0.00104940180825981,0.00155043179964257,0.00137207561646664,0.0026312457769698,0.00030995919698124,0.000384386241109373
"ICAR",0.000827881466679229,0.000154604435217082,0.00345170645451481,0.000148116797350642,0.000407226888425457,0.0015844624718617,2.22972051008616e-05,0.000780373281549943,0.00026202867140165
"Gullibility",0.00169970378995253,0.000808577559919618,6.57335509018569e-05,0.00196081519896193,0.000141874388216623,0.000842094229867045,0.000354616396517543,0.000943654973312388,0.00261965716850081
"Credulity",0.00167151519764913,0.00139277193607497,0.000346752912342164,0.0014743257256419,0.000578172703542296,0.000567285803115364,0.000254175924087459,0.000211678399213737,0.00286475816570712
"Mistrust",0.00106057395614961,0.00174203567524865,0.000548937411659297,0.000429450764213635,0.00268634230799923,3.39809428756899e-05,0.0019635764329432,0.00052848618921722,4.70594142189164e-05
"Trust",3.67188464104254e-05,0.0029250968773167,0.000326199424343901,0.00100188296798758,0.00104608089197376,0.00147624716166268,0.000468487650891985,0.00151744825927889,0.000732505034213387
"Social Intelligence",0.00159553644245442,0.000282535636442454,0.000986209466098318,0.000645609251744875,0.00172741607613105,0.00135692082580765,0.000664503112725798,0.00259193331157159,1.1556467289173e-05
"McA-SL",0.00134845949156544,0.000484450993160326,0.00141375224621822,3.26669986546688e-05,0.00194494960689632,0.00240940935703466,0.00133268130676077,0.000728612544620865,0.000228480983112595
"Autism",0.00129259180845405,0.000668971732200756,0.000258847635157496,0.00287981483442612,3.75050039959225e-05,0.00126361606549001,0.000247691001450993,0.0019647856069453,3.84988269695336e-05
"Paranoia",0.00157181987980748,0.00101467421749204,0.000717717981265418,0.000245396546074305,0.000633113036608739,0.00101728524801717,0.00307491087254899,0.000874300407890467,0.000518941674976357
"ICAR",0.000601545718930019,0.00130013467236221,0.00308767128940835,0.000402506153144475,0.00147790846293085,0.000812241282382821,0.000875793943053871,0.000800535058790043,1.57051059031752e-05
"Gullibility",0.00172535025863565,0.0013016338995449,0.000564900075586221,0.000701416421746458,0.000765546931506349,0.00113721130765129,0.000129589467424142,0.000160734571462539,0.00293187276145628
"Credulity",0.00161028454857413,0.00172842792617465,0.000441149631016967,8.18573419102125e-05,0.000492534744228925,0.00152924280318872,8.59887503435337e-05,0.000941572046829262,0.00259674429725743
"Mistrust",0.00116811238467677,0.00136630299602614,0.000375691989297569,0.00194019051214945,0.00171107220927862,0.001776565237823,0.00141349361188484,0.000865701256814893,0.000178580175441706
"Trust",0.000461852074074349,0.00266778184537242,0.00195469627255552,0.000809901432027014,0.000782287201102214,0.000388741774770549,0.00090686032855675,0.0016085569963587,0.000141103299493764
"Social Intelligence",0.00165846291217861,0.000675887153123226,0.000438459952361357,0.000543315737584437,0.0015496672966545,0.00107500621129897,0.000167574174901289,0.0028654705590698,0.000713532403607519
"McA-SL",0.00121977264622267,8.94389668548055e-05,0.000106547095007115,0.00238041767180779,0.00207832033990398,0.00121060601138727,0.00161598743211739,0.000631137802697237,0.00017799474768984
"Autism",0.00139772855932474,0.000241868697400159,0.000173833444371975,0.00221028161101874,0.000646176812280696,0.00237213108383701,0.000693519435675109,0.00157435796988151,0.000261091870138874
"Paranoia",0.00151608355938163,0.000347518112502031,0.00132542877884608,0.000268511712141444,0.00151952755417718,0.000391044281510119,0.003044334399371,0.000148311675232972,3.72946320278178e-06
